date,open,close,volume,cap,open_change,volume_change,cap_change
"May 30, 2018",566.83,559.59,2053970048,55829809817,0.09819,-0.11878,-0.01005
"May 29, 2018",516.15,565.39,2330820096,56396587656,-0.09928,-0.01107,0.09586
"May 28, 2018",573.04,516.04,2356900096,51463146627,-0.0263,0.31759,-0.0987
"May 27, 2018",588.52,572.67,1788790016,57099072056,0.00186,0.05577,-0.02468
"May 26, 2018",587.43,587.28,1694300032,58544016481,-0.02443,-0.19736,0.00114
"May 25, 2018",602.14,586.73,2110919936,58477440268,0.03011,-0.2437,-0.02476
"May 24, 2018",584.54,601.76,2791099904,59962094302,-0.09608,-0.06821,0.03135
"May 23, 2018",646.67,583.59,2995429888,58139666822,-0.07642,0.34296,-0.09886
"May 22, 2018",700.18,647.74,2230469888,64517663406,-0.02372,0.11236,-0.07344
"May 21, 2018",717.19,699.22,2005170048,69631032596,0.02761,-0.07035,-0.02237
"May 20, 2018",697.92,715.37,2156910080,71224213260,0.0041,0.06696,0.02726
"May 19, 2018",695.07,696.53,2021549952,69334147807,0.03418,-0.12325,0.00332
"May 18, 2018",672.1,694.37,2305740032,69104455849,-0.05167,-0.01909,0.03249
"May 17, 2018",708.72,672.66,2350619904,66929938612,0.00089,-0.05069,-0.04845
"May 16, 2018",708.09,707.05,2476130048,70337446111,-0.03153,-0.0186,-0.00236
"May 15, 2018",731.14,708.87,2523069952,70504110201,-0.00217,-0.16041,-0.02947
"May 14, 2018",732.73,730.55,3005110016,72645181706,0.0663,0.272,-0.00381
"May 13, 2018",687.17,733.5,2362500096,72923278119,0.01072,-0.11466,0.06938
"May 12, 2018",679.88,686.05,2668480000,68192028458,-0.06483,-0.18893,0.00972
"May 11, 2018",727.01,679.59,3290080000,67535702572,-0.03398,0.19685,-0.06538
"May 10, 2018",752.58,727.28,2748950016,72260117775,-0.00043,-0.0448,-0.03303
"May 09, 2018",752.9,752.28,2877870080,74728439730,-0.00279,-0.01459,-0.00057
"May 08, 2018",755.01,752.86,2920489984,74770813968,-0.04831,-0.32335,-0.00095
"May 07, 2018",793.34,753.72,4316120064,74841655792,-0.02788,0.3898,-0.0485
"May 06, 2018",816.09,792.31,3105570048,78656662788,0.04016,0.02324,-0.02897
"May 05, 2018",784.58,816.12,3035040000,81003446783,0.01004,-0.14105,0.03903
"May 04, 2018",776.78,785.62,3533410048,77960306236,0.13136,-0.1609,0.00801
"May 03, 2018",686.59,779.54,4210939904,77340839220,0.01856,0.49204,0.1347
"May 02, 2018",674.08,687.15,2822269952,68159979253,0.0054,0.05349,0.02031
"May 01, 2018",670.46,673.61,2678960128,66803233984,-0.02798,-0.06104,0.00571
"Apr 30, 2018",689.76,669.92,2853100032,66423712256,0.00855,0.04106,-0.02732
"Apr 29, 2018",683.91,688.88,2740559872,68289153706,0.0609,0.09769,0.00782
"Apr 28, 2018",644.65,683.68,2496659968,67759208004,-0.02637,-0.03905,0.05685
"Apr 27, 2018",662.11,647.03,2598129920,64114105428,0.07124,-0.12932,-0.0236
"Apr 26, 2018",618.08,662.81,2984009984,65663946135,-0.12585,-0.29224,0.07724
"Apr 25, 2018",707.06,615.42,4216140032,60955966711,0.09894,0.17708,-0.13078
"Apr 24, 2018",643.4,708.16,3581860096,70127342534,0.03574,0.50068,0.10234
"Apr 23, 2018",621.2,642.55,2386830080,63617020167,0.02488,-0.01626,0.03348
"Apr 22, 2018",606.12,621.86,2426269952,61556034015,-0.01604,-0.07127,0.02741
"Apr 21, 2018",616,605.4,2612460032,59913832194,0.08453,-0.08318,-0.01656
"Apr 20, 2018",567.99,615.72,2849469952,60922818296,0.08387,0.26258,0.08445
"Apr 19, 2018",524.04,567.89,2256869888,56178772001,0.04119,0.28017,0.08235
"Apr 18, 2018",503.31,524.79,1762940032,51904227886,-0.01532,0.00147,0.04375
"Apr 17, 2018",511.14,502.89,1760359936,49728519115,-0.03934,0.00078,-0.01594
"Apr 16, 2018",532.07,511.15,1758979968,50534185799,0.05805,0.01905,-0.03846
"Apr 15, 2018",502.88,531.7,1726089984,52555419462,0.02091,0.13627,0.06049
"Apr 14, 2018",492.58,501.48,1519079936,49557725333,-0.00118,-0.37209,0.01795
"Apr 13, 2018",493.16,492.73,2419249920,48683660481,0.14646,-0.03974,-0.00021
"Apr 12, 2018",430.16,492.94,2519360000,48693844481,0.03648,0.75072,0.14517
"Apr 11, 2018",415.02,430.54,1439040000,42521044920,0.03908,0.20321,0.03955
"Apr 10, 2018",399.41,414.24,1196000000,40903130396,-0.00362,-0.19101,0.03965
"Apr 09, 2018",400.86,398.53,1478390016,39343018191,0.0392,0.55868,-0.00474
"Apr 08, 2018",385.74,400.51,948488000,39530560784,0.04147,-0.00314,0.03965
"Apr 07, 2018",370.38,385.31,951475008,38023057371,-0.03227,-0.01616,0.0408
"Apr 06, 2018",382.73,370.29,967105984,36532478896,0.00732,-0.20119,-0.03358
